claim_id,claim_type,description,claim_amount,policy_age_months,prior_claims_count,prior_payout_total,days_since_policy_start_to_incident,claim_filed_delay_days,documentation_completeness,num_documents_submitted,claim_to_policy_value_ratio,has_witness,channel,claimant_age,is_fraud
CLM1958,property,Break-in resulted in stolen electronics and damaged front door.,950.87,99,0,0.0,823,8,1.0,3,0.897,1,call_center,34,0
CLM1959,property,Break-in resulted in stolen electronics and damaged front door.,9217.93,101,1,1643.92,295,18,1.0,5,0.567,1,call_center,68,0
CLM1960,travel,"Flight cancelled last minute, requesting reimbursement for missed connection costs.",1022.09,18,3,4923.65,802,37,0.98,5,0.407,1,call_center,40,0
CLM1961,property,Break-in resulted in stolen electronics and damaged front door.,8569.78,55,0,283.25,35,24,0.79,6,0.01,1,agent,34,0
CLM1962,health,"Prescribed medication for a chronic condition, claiming pharmacy expenses.",4268.45,74,0,0.0,982,11,0.87,4,0.211,0,call_center,49,0
CLM1963,auto,"Collision on the highway, front end damage and airbag deployed.",2993.35,104,2,3713.08,656,45,0.75,4,0.225,1,call_center,52,0
CLM1964,property,Pipe burst in the basement causing water damage to furniture.,4716.46,69,1,2318.19,68,58,0.83,4,0.296,1,online,38,0
CLM1965,property,Pipe burst in the basement causing water damage to furniture.,5154.47,63,0,0.0,179,10,0.75,6,0.337,0,online,34,0
CLM1966,property,Pipe burst in the basement causing water damage to furniture.,3083.51,85,0,259.63,471,5,0.86,4,0.426,0,call_center,20,0
CLM1967,travel,"Delayed flight caused missed prepaid tour, requesting compensation.",618.4,5,1,2322.73,168,56,0.88,5,0.426,1,agent,58,0
CLM1968,health,Diagnostic tests and consultation fees for ongoing treatment.,3028.13,18,1,2408.22,905,22,0.8,3,0.554,0,call_center,60,0
CLM1969,travel,Personal belongings stolen from hotel room during vacation.,1838.24,66,1,1765.57,707,49,0.87,4,0.487,0,online,48,1
CLM1970,health,"Underwent emergency surgery after an accident, submitting hospital bills.",2792.31,39,1,1248.62,899,45,0.68,5,0.408,1,call_center,49,0
CLM1971,travel,Luggage lost by the airline during an international transfer.,1029.99,46,0,0.0,843,59,0.93,6,0.278,0,agent,50,0
CLM1972,health,Diagnostic tests and consultation fees for ongoing treatment.,2222.3,3,2,4089.63,850,44,0.84,4,0.392,0,agent,39,0
CLM1973,auto,"My car was hit while parked outside my house, bumper and headlight damaged.",4289.2,7,1,2234.56,536,1,1.0,3,0.75,1,agent,52,0
CLM1974,travel,Luggage lost by the airline during an international transfer.,484.94,117,0,0.0,547,17,0.73,3,0.424,1,online,70,0
CLM1975,travel,"Delayed flight caused missed prepaid tour, requesting compensation.",213.45,1,0,225.85,962,50,0.76,5,0.225,0,call_center,32,1
CLM1976,travel,Personal belongings stolen from hotel room during vacation.,1047.89,39,2,3892.54,330,55,0.76,5,0.207,1,agent,25,0
CLM1977,travel,Personal belongings stolen from hotel room during vacation.,1062.34,88,0,0.0,830,42,0.86,5,0.457,0,call_center,54,1
CLM1978,travel,"Flight cancelled last minute, requesting reimbursement for missed connection costs.",1101.25,38,0,232.18,830,27,0.8,6,0.388,1,online,27,0
CLM1979,auto,Windshield cracked by a falling branch during a storm.,2297.67,3,1,2242.31,177,7,0.95,7,0.503,0,online,34,0
CLM1980,auto,"Collision on the highway, front end damage and airbag deployed.",2472.53,28,0,144.12,967,46,0.94,7,0.467,0,agent,35,0
CLM1981,property,Break-in resulted in stolen electronics and damaged front door.,7374.57,16,2,3491.96,998,49,1.0,5,0.57,0,online,55,0
CLM1982,travel,"Delayed flight caused missed prepaid tour, requesting compensation.",50.0,55,0,62.17,904,3,0.65,5,0.205,1,call_center,38,0
CLM1983,auto,"My car was hit while parked outside my house, bumper and headlight damaged.",5000.03,52,0,0.0,133,6,1.0,7,0.623,0,call_center,74,0
CLM1984,property,"Roof damaged during a storm, water leaking into the attic.",9046.18,8,0,0.0,749,28,0.67,5,0.468,1,call_center,22,0
CLM1985,auto,Vehicle stolen from the parking lot overnight.,1989.42,50,0,0.0,986,0,1.0,5,0.649,1,call_center,47,0
CLM1986,health,"Hospitalized for three days due to severe chest pain, requesting reimbursement for treatment.",1527.81,81,1,1691.59,989,24,0.81,4,0.45,1,agent,68,0
CLM1987,health,"Hospitalized for three days due to severe chest pain, requesting reimbursement for treatment.",1874.74,72,0,561.71,775,35,0.96,6,0.389,1,agent,33,1
CLM1988,travel,"Trip cut short due to a medical emergency abroad, claiming unused bookings.",152.67,110,1,2525.85,729,11,0.98,5,0.387,0,agent,34,0
CLM1989,auto,"My car was hit while parked outside my house, bumper and headlight damaged.",3301.22,66,1,1893.55,538,25,0.79,5,0.145,1,agent,26,0
CLM1990,health,"Physiotherapy sessions following a fracture, claiming session costs.",4015.82,87,1,965.99,419,35,1.0,4,0.502,0,online,69,1
CLM1991,property,"Tree fell on the garage during high winds, structural damage reported.",351.05,117,1,3065.18,888,25,0.62,3,0.304,1,call_center,32,0
CLM1992,travel,"Delayed flight caused missed prepaid tour, requesting compensation.",110.34,102,1,2071.21,84,40,1.0,4,0.662,0,online,49,1
CLM1993,health,"Underwent emergency surgery after an accident, submitting hospital bills.",3444.6,79,0,0.0,535,9,0.68,3,0.692,1,online,22,0
CLM1994,auto,Windshield cracked by a falling branch during a storm.,4458.05,1,0,487.52,743,33,0.71,3,0.389,0,call_center,56,1
CLM1995,property,"Tree fell on the garage during high winds, structural damage reported.",6777.23,98,0,735.2,692,1,0.62,3,0.65,1,call_center,36,0
CLM1996,health,"Prescribed medication for a chronic condition, claiming pharmacy expenses.",1306.41,9,1,2536.96,984,32,0.68,3,0.368,0,agent,58,1
CLM1997,property,"Roof damaged during a storm, water leaking into the attic.",7233.08,21,1,291.18,121,59,0.97,4,0.481,1,call_center,32,0
CLM1998,auto,Vehicle stolen from the parking lot overnight.,4199.99,25,1,1934.07,192,11,0.87,2,0.787,0,online,64,0
CLM1999,auto,"Collision on the highway, front end damage and airbag deployed.",1123.56,19,0,0.0,581,18,0.88,5,0.049,0,agent,60,0
CLM2000,health,"Underwent emergency surgery after an accident, submitting hospital bills.",3286.2,61,1,2042.78,985,23,1.0,3,0.728,1,online,46,0
CLM2001,property,Break-in resulted in stolen electronics and damaged front door.,7167.98,71,0,0.0,148,52,0.99,3,0.228,1,online,27,0
CLM2002,travel,"Delayed flight caused missed prepaid tour, requesting compensation.",1060.49,41,0,0.0,769,46,0.69,3,0.639,1,online,29,0
CLM2003,property,Break-in resulted in stolen electronics and damaged front door.,10191.99,59,0,313.07,382,32,0.9,5,0.462,1,call_center,32,0
CLM2004,travel,"Flight cancelled last minute, requesting reimbursement for missed connection costs.",1782.7,1,0,0.0,932,11,0.64,3,0.431,1,agent,37,0
CLM2005,auto,Side mirror and door dented in a parking lot accident.,50.0,15,0,134.21,456,14,1.0,6,0.184,0,agent,32,0
CLM2006,property,"Roof damaged during a storm, water leaking into the attic.",7775.15,84,1,2578.05,568,54,0.94,5,0.429,0,call_center,37,1
CLM2007,travel,"Trip cut short due to a medical emergency abroad, claiming unused bookings.",1138.86,54,1,1713.4,939,37,0.69,3,0.068,0,agent,62,0
CLM2008,auto,"My car was hit while parked outside my house, bumper and headlight damaged.",4070.97,97,0,0.0,111,13,0.99,6,0.203,1,call_center,36,0
CLM2009,travel,"Trip cut short due to a medical emergency abroad, claiming unused bookings.",1231.73,30,0,590.64,85,44,0.57,3,0.569,1,call_center,70,1
CLM2010,auto,Vehicle stolen from the parking lot overnight.,2283.02,13,1,1521.42,984,30,0.6,5,0.147,1,call_center,37,0
CLM2011,health,"Underwent emergency surgery after an accident, submitting hospital bills.",3265.69,37,2,3927.19,802,37,0.64,4,0.613,1,agent,40,0
CLM2012,travel,"Trip cut short due to a medical emergency abroad, claiming unused bookings.",954.29,78,1,1174.87,520,7,0.75,4,0.193,1,agent,36,0
CLM2013,property,"Tree fell on the garage during high winds, structural damage reported.",5364.51,96,1,1978.44,96,4,0.74,7,0.119,1,agent,25,0
CLM2014,health,Diagnostic tests and consultation fees for ongoing treatment.,1340.14,18,0,766.06,57,6,0.82,4,0.462,1,call_center,65,0
CLM2015,property,Kitchen fire caused smoke damage to walls and ceiling.,310.14,4,1,1650.78,657,16,1.0,5,0.405,1,call_center,50,0
CLM2016,auto,Vehicle stolen from the parking lot overnight.,3525.84,65,0,434.92,999,23,0.9,7,0.686,1,online,26,0
CLM2017,auto,"Collision on the highway, front end damage and airbag deployed.",7824.42,37,1,1550.25,875,31,0.77,4,0.278,1,online,30,0
CLM2018,travel,"Flight cancelled last minute, requesting reimbursement for missed connection costs.",1347.4,73,0,389.97,770,3,0.7,2,0.316,1,agent,25,0
CLM2019,travel,Luggage lost by the airline during an international transfer.,579.55,119,0,92.92,161,51,0.87,5,0.352,0,online,48,1
CLM2020,property,"Roof damaged during a storm, water leaking into the attic.",10685.33,39,1,1770.74,925,21,0.74,2,0.448,1,online,37,0
CLM2021,auto,Windshield cracked by a falling branch during a storm.,5219.21,2,1,1557.8,110,7,0.8,3,0.316,1,call_center,38,0
CLM2022,property,"Roof damaged during a storm, water leaking into the attic.",3910.84,22,1,2572.42,110,14,0.65,4,0.622,1,online,61,0
CLM2023,health,Diagnostic tests and consultation fees for ongoing treatment.,1041.52,84,0,0.0,220,50,0.9,5,0.515,0,online,36,1
CLM2024,property,Pipe burst in the basement causing water damage to furniture.,5570.26,104,0,534.0,796,45,0.88,3,0.177,1,call_center,23,0
CLM2025,travel,"Flight cancelled last minute, requesting reimbursement for missed connection costs.",518.19,76,1,1804.01,516,43,0.86,4,0.235,0,call_center,65,0
CLM2026,auto,"Collision on the highway, front end damage and airbag deployed.",1580.73,24,0,810.42,928,22,0.75,5,0.655,0,online,51,0
CLM2027,travel,Luggage lost by the airline during an international transfer.,1368.47,40,1,2026.58,897,14,1.0,6,0.477,1,online,48,0
CLM2028,health,Diagnostic tests and consultation fees for ongoing treatment.,3524.5,29,0,0.0,360,0,1.0,7,0.01,0,call_center,46,0
CLM2029,auto,Windshield cracked by a falling branch during a storm.,1967.97,43,1,1256.44,285,21,0.78,3,0.477,1,online,55,0
CLM2030,auto,"Collision on the highway, front end damage and airbag deployed.",2728.12,118,1,2582.71,708,20,0.8,3,0.223,1,agent,38,0
CLM2031,travel,Luggage lost by the airline during an international transfer.,1093.38,6,2,3216.08,947,53,0.85,2,0.08,1,online,18,0
CLM2032,travel,"Flight cancelled last minute, requesting reimbursement for missed connection costs.",1654.2,58,2,4423.4,102,58,0.82,4,0.183,0,online,71,0
CLM2033,auto,Windshield cracked by a falling branch during a storm.,3817.62,119,2,2954.0,379,9,0.85,5,0.502,1,agent,71,0
CLM2034,property,Break-in resulted in stolen electronics and damaged front door.,3419.1,52,0,0.0,959,57,0.78,7,0.062,1,online,40,0
CLM2035,health,"Underwent emergency surgery after an accident, submitting hospital bills.",2143.98,74,0,0.0,467,8,0.93,3,0.384,1,call_center,21,0
CLM2036,auto,Side mirror and door dented in a parking lot accident.,3559.86,97,1,1251.43,113,2,0.72,3,0.451,1,call_center,60,0
CLM2037,auto,"Collision on the highway, front end damage and airbag deployed.",2348.12,61,0,0.0,627,26,0.68,5,0.397,1,call_center,57,0
CLM2038,travel,Luggage lost by the airline during an international transfer.,595.63,57,0,1300.79,346,27,0.83,6,0.397,0,agent,61,0
CLM2039,health,"Physiotherapy sessions following a fracture, claiming session costs.",2216.13,110,1,1876.03,386,16,0.57,3,0.01,1,agent,27,0
CLM2040,travel,"Flight cancelled last minute, requesting reimbursement for missed connection costs.",50.0,116,0,0.0,380,2,0.78,2,0.424,0,online,32,0
CLM2041,auto,"My car was hit while parked outside my house, bumper and headlight damaged.",3042.02,25,1,2186.4,320,7,0.92,2,0.2,1,online,39,0
CLM2042,travel,Personal belongings stolen from hotel room during vacation.,1190.05,95,1,2472.34,911,28,0.78,6,0.318,1,agent,64,0
CLM2043,property,Pipe burst in the basement causing water damage to furniture.,5647.29,47,1,769.3,89,45,0.85,5,0.605,1,online,72,0
CLM2044,property,Kitchen fire caused smoke damage to walls and ceiling.,3004.05,47,1,1942.19,556,14,0.7,1,0.418,0,call_center,61,0
CLM2045,health,"Physiotherapy sessions following a fracture, claiming session costs.",3477.65,21,0,0.0,241,58,0.82,6,0.266,1,call_center,24,0
CLM2046,property,Kitchen fire caused smoke damage to walls and ceiling.,2002.65,1,0,0.0,477,13,0.94,5,0.188,1,call_center,65,1
CLM2047,property,"Tree fell on the garage during high winds, structural damage reported.",8057.67,52,1,1820.15,180,43,0.81,6,0.468,1,online,52,0
CLM2048,health,Diagnostic tests and consultation fees for ongoing treatment.,1827.75,32,1,1931.99,579,51,0.99,4,0.617,0,call_center,37,1
CLM2049,property,Kitchen fire caused smoke damage to walls and ceiling.,6355.05,19,1,2070.19,404,36,0.91,8,0.241,0,call_center,48,0
CLM2050,health,Diagnostic tests and consultation fees for ongoing treatment.,1101.57,38,0,213.33,137,30,0.64,6,0.76,1,agent,24,0
CLM2051,auto,Vehicle stolen from the parking lot overnight.,6838.11,64,0,0.0,232,4,0.7,4,0.419,1,online,29,0
CLM2052,auto,"My car was hit while parked outside my house, bumper and headlight damaged.",3229.29,67,1,2032.06,364,46,0.96,3,0.113,0,call_center,56,0
CLM2053,property,Pipe burst in the basement causing water damage to furniture.,8227.58,6,1,2312.86,925,20,0.74,4,0.534,0,agent,34,0
CLM2054,travel,Personal belongings stolen from hotel room during vacation.,394.21,90,0,0.0,399,13,0.77,6,0.397,1,call_center,65,0
CLM2055,property,Pipe burst in the basement causing water damage to furniture.,3191.64,20,0,181.48,956,34,0.72,3,0.32,1,call_center,62,0
CLM2056,travel,"Flight cancelled last minute, requesting reimbursement for missed connection costs.",1139.3,49,1,1467.19,447,37,0.95,5,0.701,1,online,52,0
CLM2057,auto,Windshield cracked by a falling branch during a storm.,4484.58,23,0,280.9,831,6,0.68,4,0.01,0,online,59,0
CLM2058,health,"Hospitalized for three days due to severe chest pain, requesting reimbursement for treatment.",1883.36,12,0,0.0,254,25,1.0,8,0.195,0,online,25,0
CLM2059,travel,"Trip cut short due to a medical emergency abroad, claiming unused bookings.",938.62,87,2,2978.24,172,36,0.86,4,0.374,1,call_center,34,0
CLM2060,travel,Personal belongings stolen from hotel room during vacation.,485.18,117,1,2705.78,698,30,0.86,6,0.01,0,agent,19,0
CLM2061,auto,Side mirror and door dented in a parking lot accident.,2721.15,56,0,0.0,163,18,0.93,2,0.337,1,call_center,72,0
CLM2062,health,"Hospitalized for three days due to severe chest pain, requesting reimbursement for treatment.",1716.49,3,0,0.0,654,46,0.94,7,0.374,1,agent,31,0
CLM2063,property,"Tree fell on the garage during high winds, structural damage reported.",50.0,37,0,636.21,381,48,0.87,5,0.521,1,online,69,0
CLM2064,health,"Physiotherapy sessions following a fracture, claiming session costs.",1968.67,13,0,0.0,539,24,0.88,4,0.571,1,online,26,0
CLM2065,property,"Tree fell on the garage during high winds, structural damage reported.",3009.74,72,0,0.0,754,9,0.56,2,0.673,0,agent,26,0
CLM2066,auto,Vehicle stolen from the parking lot overnight.,5674.27,9,0,386.77,290,39,0.81,3,0.282,0,agent,41,0
CLM2067,health,"Underwent emergency surgery after an accident, submitting hospital bills.",3360.38,103,0,29.83,112,15,0.99,3,0.56,1,online,34,0
CLM2068,auto,"My car was hit while parked outside my house, bumper and headlight damaged.",3351.99,51,1,1314.04,31,37,0.78,5,0.411,1,agent,20,0
CLM2069,travel,"Delayed flight caused missed prepaid tour, requesting compensation.",1020.3,47,1,1273.72,791,10,0.86,5,0.098,1,call_center,27,0
CLM2070,auto,"Collision on the highway, front end damage and airbag deployed.",4561.89,8,1,2127.61,755,0,0.94,5,0.443,0,agent,39,0
CLM2071,auto,"Collision on the highway, front end damage and airbag deployed.",4685.31,55,1,2473.46,533,9,0.89,7,0.289,0,online,74,0
CLM2072,auto,Vehicle stolen from the parking lot overnight.,1964.16,93,1,2046.0,253,59,0.93,3,0.158,0,online,38,0
CLM2073,property,"Tree fell on the garage during high winds, structural damage reported.",9015.48,112,1,2792.61,971,24,0.84,4,0.348,0,call_center,43,0
CLM2074,property,"Roof damaged during a storm, water leaking into the attic.",6685.45,79,1,2570.38,106,16,0.84,4,0.263,0,online,18,0
CLM2075,health,"Prescribed medication for a chronic condition, claiming pharmacy expenses.",3345.97,102,0,0.0,777,7,0.78,7,0.071,1,call_center,61,0
CLM2076,auto,Windshield cracked by a falling branch during a storm.,5142.25,77,2,3953.59,783,56,0.85,4,0.066,1,online,37,0
CLM2077,travel,"Delayed flight caused missed prepaid tour, requesting compensation.",1346.65,84,0,177.43,333,23,0.81,5,0.585,0,agent,65,0
CLM2078,auto,Side mirror and door dented in a parking lot accident.,3565.74,8,0,187.4,913,22,0.83,1,0.228,1,agent,19,0
CLM2079,auto,Vehicle stolen from the parking lot overnight.,5068.35,60,0,0.0,475,52,0.8,4,0.428,0,agent,19,0
CLM2080,property,Break-in resulted in stolen electronics and damaged front door.,6582.4,50,0,0.0,425,9,0.66,0,0.182,1,online,29,0
CLM2081,health,"Underwent emergency surgery after an accident, submitting hospital bills.",2079.41,97,2,3559.4,97,0,0.87,6,0.417,1,agent,70,0
CLM2082,property,"Tree fell on the garage during high winds, structural damage reported.",7684.33,68,1,1429.53,266,12,0.78,5,0.205,1,online,61,0
CLM2083,auto,Side mirror and door dented in a parking lot accident.,3820.1,22,0,251.24,813,26,0.57,4,0.01,1,online,57,0
CLM2084,auto,"My car was hit while parked outside my house, bumper and headlight damaged.",3818.12,32,1,1589.43,658,13,0.89,6,0.441,1,online,32,0
CLM2085,health,Diagnostic tests and consultation fees for ongoing treatment.,1875.82,103,1,1557.28,232,19,0.67,2,0.502,1,online,50,0
CLM2086,property,Pipe burst in the basement causing water damage to furniture.,9644.83,89,0,38.63,174,10,0.87,1,0.399,1,agent,30,0
CLM2087,health,"Physiotherapy sessions following a fracture, claiming session costs.",2810.42,95,0,981.78,326,13,0.76,5,0.277,1,online,20,0
CLM2088,travel,"Trip cut short due to a medical emergency abroad, claiming unused bookings.",664.63,117,1,1678.18,177,11,0.74,3,0.156,1,online,23,0
CLM2089,health,"Prescribed medication for a chronic condition, claiming pharmacy expenses.",3744.75,118,0,0.0,998,17,0.89,8,0.325,0,agent,53,0
CLM2090,property,"Tree fell on the garage during high winds, structural damage reported.",1568.51,102,2,3516.26,890,35,0.77,4,0.345,0,online,36,0
CLM2091,property,"Tree fell on the garage during high winds, structural damage reported.",6904.72,107,2,3987.62,121,5,0.81,5,0.214,1,online,67,0
CLM2092,auto,"Collision on the highway, front end damage and airbag deployed.",3009.05,101,0,144.12,82,32,0.96,4,0.274,0,online,32,0
CLM2093,auto,"My car was hit while parked outside my house, bumper and headlight damaged.",6228.44,117,1,1422.25,711,16,0.93,4,0.321,1,agent,35,0
CLM2094,travel,"Trip cut short due to a medical emergency abroad, claiming unused bookings.",220.84,16,0,252.75,635,11,0.97,5,0.168,0,agent,57,0
CLM2095,property,"Tree fell on the garage during high winds, structural damage reported.",7916.87,82,0,0.0,788,33,0.74,3,0.506,1,online,58,0
CLM2096,travel,"Trip cut short due to a medical emergency abroad, claiming unused bookings.",50.0,75,1,1540.93,522,50,0.68,3,0.153,0,online,46,0
CLM2097,health,"Physiotherapy sessions following a fracture, claiming session costs.",1809.66,3,0,519.81,291,40,0.7,2,0.608,1,agent,33,0
CLM2098,property,"Tree fell on the garage during high winds, structural damage reported.",1892.36,39,0,0.0,123,41,0.75,7,0.334,0,call_center,53,0
CLM2099,health,"Prescribed medication for a chronic condition, claiming pharmacy expenses.",2040.46,21,2,3170.41,509,15,0.83,3,0.21,1,agent,27,0
CLM2100,travel,"Delayed flight caused missed prepaid tour, requesting compensation.",50.0,60,1,1820.64,336,18,0.83,4,0.486,1,online,51,0
CLM2101,health,"Hospitalized for three days due to severe chest pain, requesting reimbursement for treatment.",4075.91,58,0,0.0,283,30,0.92,4,0.915,0,online,60,1
CLM2102,travel,Luggage lost by the airline during an international transfer.,954.02,53,0,0.0,391,8,0.82,5,0.239,1,online,20,0
CLM2103,property,Kitchen fire caused smoke damage to walls and ceiling.,11745.66,34,1,1193.6,645,49,0.82,0,0.319,0,call_center,40,1
CLM2104,property,Break-in resulted in stolen electronics and damaged front door.,6015.01,98,0,0.0,710,48,0.86,4,0.369,1,online,22,0
CLM2105,property,Pipe burst in the basement causing water damage to furniture.,50.0,63,0,0.0,463,22,0.84,4,0.276,0,online,39,0
CLM2106,health,Diagnostic tests and consultation fees for ongoing treatment.,2510.15,52,0,0.0,978,31,0.64,4,0.246,0,agent,66,1
CLM2107,auto,Windshield cracked by a falling branch during a storm.,1260.62,51,0,0.0,593,45,0.68,4,0.272,0,online,59,1
CLM2108,auto,"Collision on the highway, front end damage and airbag deployed.",5722.65,96,1,1607.94,428,12,1.0,4,0.708,1,online,41,0
CLM2109,travel,"Trip cut short due to a medical emergency abroad, claiming unused bookings.",517.72,50,0,669.57,385,50,0.78,4,0.281,0,call_center,33,0
CLM2110,travel,"Flight cancelled last minute, requesting reimbursement for missed connection costs.",883.44,30,1,1654.0,525,48,1.0,6,0.19,0,call_center,21,0
CLM2111,auto,"Collision on the highway, front end damage and airbag deployed.",4064.7,17,2,3400.65,694,17,0.75,6,0.455,1,call_center,67,0
CLM2112,travel,"Delayed flight caused missed prepaid tour, requesting compensation.",339.71,116,2,3585.1,869,24,0.92,6,0.283,0,online,65,0
CLM2113,auto,"Collision on the highway, front end damage and airbag deployed.",1865.6,42,0,0.0,688,2,0.7,3,0.047,0,agent,19,0
CLM2114,health,"Prescribed medication for a chronic condition, claiming pharmacy expenses.",4586.2,47,1,2576.41,420,28,0.83,2,0.338,0,agent,33,0
CLM2115,property,"Roof damaged during a storm, water leaking into the attic.",5893.74,31,0,0.0,444,40,0.77,7,0.193,0,agent,34,1
CLM2116,property,"Roof damaged during a storm, water leaking into the attic.",5168.78,71,0,109.41,58,39,0.84,4,0.272,1,agent,38,0
CLM2117,health,"Underwent emergency surgery after an accident, submitting hospital bills.",1718.94,40,1,1949.07,987,18,0.77,4,0.247,0,online,60,0
CLM2118,health,"Hospitalized for three days due to severe chest pain, requesting reimbursement for treatment.",1825.63,59,1,2873.62,86,39,0.85,5,0.04,0,call_center,32,0
CLM2119,health,"Underwent emergency surgery after an accident, submitting hospital bills.",1928.92,40,1,2357.91,556,5,0.91,6,0.198,1,online,45,0
CLM2120,travel,"Trip cut short due to a medical emergency abroad, claiming unused bookings.",180.57,62,0,0.0,976,35,0.79,3,0.131,0,agent,51,0
CLM2121,travel,"Delayed flight caused missed prepaid tour, requesting compensation.",1708.71,93,0,974.08,232,2,0.88,5,0.359,1,online,19,0
CLM2122,property,Break-in resulted in stolen electronics and damaged front door.,6186.07,38,2,3452.99,624,30,0.7,3,0.491,1,online,65,0
CLM2123,property,"Roof damaged during a storm, water leaking into the attic.",6075.16,25,0,0.0,806,40,0.84,6,0.055,1,agent,56,0
CLM2124,auto,"Collision on the highway, front end damage and airbag deployed.",2266.87,98,0,0.0,781,29,0.97,6,0.427,1,online,22,0
CLM2125,property,"Tree fell on the garage during high winds, structural damage reported.",4827.13,41,1,2077.32,601,41,0.88,2,0.503,1,call_center,73,0
CLM2126,auto,Windshield cracked by a falling branch during a storm.,975.39,86,2,3368.08,922,41,0.86,5,0.28,0,online,39,0
CLM2127,health,"Underwent emergency surgery after an accident, submitting hospital bills.",4250.54,7,0,434.33,47,7,0.92,8,0.292,0,online,31,0
CLM2128,property,"Tree fell on the garage during high winds, structural damage reported.",6149.45,89,0,0.0,268,53,0.78,7,0.639,1,agent,20,0
CLM2129,auto,Windshield cracked by a falling branch during a storm.,3132.66,38,0,289.82,649,22,0.9,5,0.717,1,call_center,31,0
CLM2130,property,Kitchen fire caused smoke damage to walls and ceiling.,7035.84,38,1,2956.77,279,45,0.67,2,0.01,0,online,66,0
CLM2131,travel,"Delayed flight caused missed prepaid tour, requesting compensation.",638.61,1,1,1783.48,827,45,0.7,3,0.673,1,agent,59,0
CLM2132,health,Diagnostic tests and consultation fees for ongoing treatment.,3776.99,111,1,1119.01,301,32,1.0,9,0.164,1,online,50,0
CLM2133,auto,"My car was hit while parked outside my house, bumper and headlight damaged.",6935.46,45,2,2716.79,832,0,0.55,3,0.409,0,online,71,0
CLM2134,auto,"Collision on the highway, front end damage and airbag deployed.",2482.42,9,0,1025.61,211,17,1.0,4,0.167,1,online,37,0
CLM2135,health,Diagnostic tests and consultation fees for ongoing treatment.,1167.7,97,0,220.25,512,23,0.88,5,0.569,1,online,34,0
CLM2136,property,Kitchen fire caused smoke damage to walls and ceiling.,6944.96,112,1,2072.7,842,2,0.94,3,0.495,0,call_center,21,0
CLM2137,property,Kitchen fire caused smoke damage to walls and ceiling.,7087.63,36,0,0.0,166,16,1.0,3,0.362,0,online,39,0
CLM2138,auto,Vehicle stolen from the parking lot overnight.,1180.76,23,1,1161.31,89,16,1.0,7,0.335,1,online,32,0
CLM2139,health,"Prescribed medication for a chronic condition, claiming pharmacy expenses.",4237.52,94,0,327.78,606,15,0.81,7,0.615,1,online,55,0
CLM2140,auto,Vehicle stolen from the parking lot overnight.,5496.39,80,1,1588.89,474,55,0.39,1,0.204,1,online,58,1
CLM2141,auto,Side mirror and door dented in a parking lot accident.,4356.41,63,0,781.33,575,51,1.0,4,0.29,1,online,73,0
CLM2142,travel,Personal belongings stolen from hotel room during vacation.,690.02,89,1,1940.86,185,54,0.79,4,0.216,1,call_center,69,0
CLM2143,travel,Personal belongings stolen from hotel room during vacation.,607.38,36,0,0.0,561,31,0.96,4,0.507,1,online,56,0
CLM2144,travel,"Trip cut short due to a medical emergency abroad, claiming unused bookings.",1347.99,22,2,4410.79,580,58,0.84,3,0.362,0,online,63,1
CLM2145,health,"Prescribed medication for a chronic condition, claiming pharmacy expenses.",4388.59,75,0,128.95,465,59,1.0,7,0.573,1,online,66,0
CLM2146,property,Pipe burst in the basement causing water damage to furniture.,8271.13,31,0,232.61,962,53,0.58,5,0.395,1,agent,64,0
CLM2147,auto,Side mirror and door dented in a parking lot accident.,958.9,76,1,2742.22,931,7,0.82,3,0.361,1,call_center,24,0
CLM2148,health,"Prescribed medication for a chronic condition, claiming pharmacy expenses.",2012.32,93,3,6284.35,252,9,0.99,6,0.232,1,call_center,19,0
CLM2149,travel,"Delayed flight caused missed prepaid tour, requesting compensation.",599.31,26,0,0.0,150,12,0.53,2,0.238,1,agent,29,0
CLM2150,travel,"Flight cancelled last minute, requesting reimbursement for missed connection costs.",1042.32,68,1,2735.07,553,44,1.0,5,0.206,1,online,41,0
CLM2151,property,Pipe burst in the basement causing water damage to furniture.,8137.01,69,1,1469.77,309,26,0.94,5,0.33,1,agent,68,0
CLM2152,travel,"Delayed flight caused missed prepaid tour, requesting compensation.",761.3,74,2,4336.45,585,47,0.8,4,0.219,0,online,35,0
CLM2153,health,"Physiotherapy sessions following a fracture, claiming session costs.",3494.93,115,1,1398.14,973,55,1.0,5,0.29,0,call_center,41,0
CLM2154,auto,Windshield cracked by a falling branch during a storm.,3650.37,33,0,0.0,8,25,0.93,4,0.301,0,agent,32,0
CLM2155,travel,Personal belongings stolen from hotel room during vacation.,489.99,71,1,1950.4,339,39,0.8,4,0.509,1,call_center,73,0
CLM2156,property,"Tree fell on the garage during high winds, structural damage reported.",8720.35,54,0,0.0,115,31,0.91,7,0.245,0,call_center,52,1
CLM2157,property,"Roof damaged during a storm, water leaking into the attic.",5300.01,37,0,0.0,49,18,1.0,6,0.556,1,agent,72,0
CLM2158,health,"Prescribed medication for a chronic condition, claiming pharmacy expenses.",1957.12,3,0,0.0,307,19,0.92,5,0.271,0,online,49,0
CLM2159,health,"Prescribed medication for a chronic condition, claiming pharmacy expenses.",2417.13,39,0,102.01,844,16,0.86,6,0.216,1,online,18,0
